Restaurant Name,Cuisine,Budget,Distance,Dietary restrictions,Rating,Opening Hours,Closing Hours,Res hall,Needs reservation,,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Koko Bao Bar,Asian,$$,260m,Vegetarian,4.3,12:30 PM,12:30-16:00;19:00-01:00,Gorriti,No,,12:30-16:00;19:00-23:59,12:30-16:00;19:00-23:59,12:30-16:00;19:00-23:59,12:30-16:00;19:00-23:59,12:30-16:00;19:00-23:59;00:00-01:00,12:30-16:00;19:00-23:59;00:00-01:00,12:30-16:00;19:00-23:59
Brozziano Empanadas,Empanadas,$,600m,Vegetarian,4,11:00 AM,11:00-23:00,Gorriti,No,closed on sunday,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,closed
Casa Munay,Vegetarian,$$,100m,Vegetarian,4.5,9:00 AM,09:00-11:00,Gorriti,No,closed on tuesday,09:00-23:00,closed,09:00-23:00,09:00-23:00,09:30-23:30,09:30-23:30,09:00-23:00
Kanka,Barbecue,$,210m,None,4.1,9:00 AM,09:00-00:00,Gorriti,No,closed on tuesday,09:00-23:59,09:00-23:59,09:00-23:59,09:00-23:59,09:00-23:59,09:00-23:59,09:00-23:59
Mumbai Indian Food,Indian,$$,650m,None,4.3,7:00 PM,19:00-00:00,Gorriti,Yes,,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59
Dostana,Indian,$$,850m,None,4.1,12:00 PM,12:00-15:00;19:00-00:00,Gorriti,Yes,closed on monday,closed,12:00-15:00;19:00-23:59,12:00-15:00;19:00-23:59,12:00-15:00;19:00-23:59,12:00-15:00;19:00-23:59,12:00-15:00;19:00-23:59,12:00-15:00;19:00-23:59
KFC,Fast Food,$$,2000m,None,4.1,6:30 AM,06:30-01:00,Gorriti,No,,10:00-23:59;00:00-01:00,06:30-23:59;00:00-01:00,06:30-23:59;00:00-01:00,06:29-23:59;00:00-03:30,06:30-23:59;00:00-03:30,06:30-23:59;00:00-03:30,06:30-23:59;00:00-1:00
Žuti,Korean,$$,700m,None,4.3,7:00 AM,19:00-22:30,Gorriti,No,closed on monday,closed,07:00-22:30,07:00-22:30,07:00-22:30,07:00-22:30,12:00-16:00;07:00-23:00,12:00-16:00;07:00-22:30
Al Rawshe,Lebanese,$$,2800m,Halal,4.6,1:00 PM,13:00-23:00,Gorriti,No,closed on monday,closed,01:00-23:00,01:00-23:00,01:00-23:00,01:00-23:00,01:30-23:00,01:30-23:00
Benaim Kosher,Kosher,$$,450m,Kosher,4.1,12:00 PM,12:00-00:00,Gorriti,No,,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-16:00,21:00-23:59,12:00-23:59
Oggi Pasta e Birra,Italian,$,350m,Vegetarian,4.5,11:30 AM,11:30-00:00,Gorriti,No,closed on monday,closed,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59
McDonalds,Fast Food,$$,1000m,None,3.8,6:30 AM,06:30-02:00,Gorriti,No,,06:30-23:59;00:00-02:00,06:30-23:59;00:00-02:00,06:30-23:59;00:00-02:00,06:30-23:59,00:00-23:59,00:00-23:59,06:00-23:59;00:00-02:00
Las Cabras,Argentinian,$$,800m,None,4.1,12:00 PM,12:00-00:00,Gorriti,No,,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59;00:00-02:00,12:00-23:59;00:00-02:00,12:00-23:59
La Dorita,Steak,$$,1100m,None,4.1,12:00 PM,12:00-01:00,Gorriti,Yes,,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00,12:00-23:59;00:00-01:00
The Night Market,Asian,$$,600m,None,4.6,8:00 AM,20:00-23:30,Gorriti,No,closed on sunday,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,closed
Parrilla Coreana,Korean,$$,500m,None,4.7,8:00 AM,20:00-23:30,Gorriti,Yes,closed on sunday,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,20:00-23:30,closed
Cang Tin,Vietnamese,$$,800m,None,4.5,12:00 PM,12:00-23:45,Gorriti,Yes,closed on monday,closed,19:00-23:45,12:00-23:45,12:00-23:45,12:00-23:45,12:00-17:00;19:00-23:30,12:00-23:45
Sudestada,Asian,$$$,1300m,None,4.3,12:00 PM,12:00-15:30;20:00-23:30,Gorriti,Yes,closed on sunday,12:00-15:30;20:00-23:30,12:00-15:30;20:00-23:30,12:00-15:30;20:00-23:30,12:00-15:30;20:00-23:30,12:00-15:30;20:00-23:59;00:00-00:30,12:00-15:30;20:00-23:59;00:00-00:30,closed
Mirutaki Ramen and Sushi,Japanese,$$,1200m,None,4.6,7:00 AM,19:00-22:30,Gorriti,No,closed on monday,closed,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30,19:00-22:30
Fukuro Noodle Bar,Ramen,$$,1000m,None,4.5,7:00 AM,19:00-23:30,Gorriti,No,closed on sunday and monday,closed,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:59,19:00-23:59,closed
Izakaya by Sushi Pop Palermo,Sushi,$$,1200m,None,4.5,11:30 AM,11:30-00:00,Gorriti,Yes,,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59,11:30-23:59
Don Julio,Grill,$$$,2100m,None,4.5,11:30 AM,11:30-16:00;19:00-01:00,Gorriti,Yes,,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00,11:30-16:00;19:00-23:59;00:00-01:00
Santos Manjares,Steak,$$,140m,None,4.7,11:45 AM,11:45-00:00,Bellini,No,closed on sunday,11:45-23:59,11:45-23:59,11:45-23:59,11:45-23:59,11:45-23:59,11:45-23:59,closed
CHS Burger,Burger,$,650m,None,4.9,12:00 PM,12:00-23:00,Bellini,No,,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00
Mr. Ho,Korean,$$,110m,None,4.7,,12:00-15:00;18:00-22:00,Bellini,No,closed on sunday,12:00-15:00;18:00-22:00,12:00-15:00;18:00-22:00,12:00-15:00;18:00-22:00,12:00-15:00;18:00-22:00,12:00-15:00;18:00-22:00,12:00-15:00;18:00-22:00,closed
Delhi Mahal,Indian,$$,550m,"Vegetarian, Halal",4.3,,"12-4om, 7:30pm-12am.
Sunday: 7:30pm-12am",Bellini,Yes,,12:00-16:00;19:30-23:59,12:00-16:00;19:30-23:59,12:00-16:00;19:30-23:59,12:00-16:00;19:30-23:59,12:00-16:00;19:30-23:59,12:00-16:00;19:30-23:59,19:30-23:59
Tancat,Spanish,$$$,250m,None,4.4,,"M&T: 12-4pm;
W-F: 12-4pm, 7-11:30pm; Sat: 7-11:30pm",Bellini,Yes,,12:00-16:00,12:00-16:00,12:00-16:00;19:00-23:30,12:00-16:00;19:00-23:30,12:00-16:00;19:00-23:30,19:00-23:30,12:00-16:00;19:00-23:30
Petit Colón,Cafe,$$$,1000m,None,4.4,,6am-1am weekday. Weekend: 7am-12am,Bellini,No,,06:00-23:59;00:00-01:00,06:00-23:59;00:00-01:00,06:00-23:59;00:00-01:00,06:00-23:59;00:00-01:00,06:00-23:59;00:00-01:00,07:00-23:59,07:00-23:59
Negro Cueva de Café,Cafe,$$,210m,None,4.5,,M-F: 8am-7:30pm; Sat: 9am-4pm,Bellini,No,,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,08:00-19:30,09:00-16:00,closed
Deltoro,Burger,$$,100m,None,4.2,,11am-12am; Sunday: 6pm-12am,Bellini,No,,11:00-12:00,11:00-12:00,11:00-12:00,11:00-12:00,11:00-12:00,11:00-12:00,18:00-23:59
Parilla Cero5,Steak,$$,130m,None,4.6,,"12-11:30pm, Monday closed",Bellini,Yes,,closed,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30,12:00-23:30
Dandy Santa Fe,Cafe,$$,350m,None,4.4,,8am-1am,Bellini,No,,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00,08:00-23:59;00:00-01:00
Natacha cafe,cafe,$$,240m,None,4.1,,7am-12am,Bellini,No,,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59,07:00-23:59
Fa Song Song,Korean,$$,180m,None,4.7,,"M: 12-3:30pm; T-F: 12-3:30pm, 6:30-10pm; Sat: 6:30pm-10pm",Bellini,No,,12:00-15:30,12:00-15:30;18:30-22:00,12:00-15:30;18:30-22:00,12:00-15:30;18:30-22:00,12:00-15:30;18:30-22:00,18:30-22:00,closed
Kamay Lounge,Peruvian,$$,300m,None,4.5,,12-4pm; 8pm-12am except Sunday,Bellini,Yes,,12:00-16:00;20:00-23:59,12:00-16:00;20:00-23:59,12:00-16:00;20:00-23:59,12:00-16:00;20:00-23:59,12:00-16:00;20:00-23:59,12:00-16:00;20:00-23:59,closed
Tanta,Peruvian,$$,89m,Vegetarian,4.5,,12pm-12am,Bellini,No,,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59
Coya,Peruvian,$$,550m,None,3.9,,12pm-12am; Sunday: 12-6pm,Bellini,No,,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-18:00
Tango Dólar,Halal,$,1500m,Halal,4.9,,20:00-01:00,Gorriti,No,closed on sunday and monday and tuesday and wednesday,closed,closed,closed,20:00-23:59;00:00-01:00,20:00-23:59;00:00-01:00,20:00-23:59;00:00-01:00,closed
Al Zein,Middle Eastern,$$,1900m,Halal,4.4,,12:00-00:00,Gorriti,No,closed on monday,closed,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59,12:00-23:59